Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getHomeRecorder,11,2,0,603,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getUserPreferences,19,2,0,623,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,execute,3,1,1,646,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getContentManager,6,2,0,655,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getViewFactory,11,2,0,665,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createFurnitureView,3,1,3,671,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getPluginManager,8,2,0,680,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getName,3,1,0,692,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getVersion,3,1,0,700,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,initLookAndFeel,12,2,0,708,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,addComponent3DRenderingErrorObserver,20,2,0,728,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,errorOccured,9,1,2,740,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,run,3,1,0,743,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,show3DError,5,1,0,756,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,checkJavaWebStartBasicService,19,4,2,766,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletFurnitureTable,getTableCellRendererComponent,12,2,6,799,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletFurnitureTable,AppletFurnitureTable,3,1,3,819,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletFurnitureTable,getCellRenderer,8,2,2,823,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,StandaloneServiceManager,StandaloneServiceManager,3,1,2,841,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,StandaloneServiceManager,lookup,8,2,1,846,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,StandaloneServiceManager,getServiceNames,3,1,0,854,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletBasicService,AppletBasicService,4,1,2,866,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletBasicService,showDocument,4,1,1,872,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletBasicService,getCodeBase,3,1,0,877,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletBasicService,isOffline,3,1,0,881,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletBasicService,isWebBrowserSupported,3,1,0,885,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,AppletContentManager,6,1,3,62,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,AppletContentManager,3,1,2,71,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,getPresentationName,8,2,2,76,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,isAcceptable,8,2,2,89,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,showOpenDialog,87,9,3,104,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,mouseClicked,5,2,1,143,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,actionPerformed,3,1,1,164,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,actionPerformed,4,1,1,170,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,valueChanged,5,1,1,177,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,deleteSelectedHome,35,5,2,206,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,call,5,1,0,222,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,handleException,12,3,1,230,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,showSaveDialog,27,5,4,249,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,showError,4,1,2,291,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,AppletUserPreferences,3,1,2,98,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,AppletUserPreferences,3,1,4,106,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,AppletUserPreferences,3,1,5,124,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,AppletUserPreferences,3,1,7,144,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,AppletUserPreferences,98,10,8,166,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,execute,3,1,1,194,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,propertyChange,3,1,1,289,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,propertyChange,3,1,1,296,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,updateDefaultCatalogs,50,11,0,325,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,run,13,3,0,340,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,run,3,1,0,346,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,run,13,3,0,366,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,run,3,1,0,372,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,write,51,8,0,382,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,getProperties,9,3,0,445,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,readPreferences,22,2,1,458,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,writePreferences,29,3,1,484,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,setActionTipIgnored,4,1,1,520,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,isActionTipIgnored,4,1,1,529,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,resetIgnoredActionTips,7,2,0,538,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,addLanguageLibrary,3,1,1,551,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,languageLibraryExists,3,1,1,559,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,furnitureLibraryExists,3,1,1,567,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,addFurnitureLibrary,3,1,1,575,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,texturesLibraryExists,3,1,1,583,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,addTexturesLibrary,3,1,1,591,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,getLibraries,3,1,0,600,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,HomeAppletController,3,1,9,65,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,HomeAppletController,12,1,10,77,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,getView,16,2,0,99,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,newHome,8,1,0,124,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,3,1,0,130,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,open,8,1,0,136,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,3,1,0,142,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,save,13,2,0,148,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,3,1,0,155,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,saveAs,24,3,2,164,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,19,3,0,172,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,6,2,0,178,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,chekHomeLengthAndSave,41,5,1,194,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,call,16,2,0,201,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,9,2,0,204,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,handleException,11,3,1,219,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,help,9,1,0,239,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,exportToSH3D,27,4,0,252,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,call,4,1,0,262,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,handleException,11,3,1,269,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,importFromSH3D,48,5,0,287,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,43,5,0,292,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,call,20,2,0,299,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,run,7,2,0,310,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,handleException,11,3,1,323,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,getHomeLengthMessage,6,1,1,343,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,editPreferences,0,4,0,354,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,isPropertyEditable,0,4,1,361,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,HomeAppletRecorder,3,1,3,55,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,HomeAppletRecorder,3,1,4,65,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,HomeAppletRecorder,3,1,4,79,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,HomeAppletRecorder,7,1,5,90,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,writeHome,40,3,2,106,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,createHomeOutputStream,3,1,1,158,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,readHome,32,2,1,165,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,createHomeInputStream,3,1,1,202,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,exists,15,4,1,209,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,getAvailableHomes,40,5,0,229,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,deleteHome,30,4,1,270,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,isHomeDeletionAvailable,3,1,0,308,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,getHomeLength,15,1,1,315,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,LengthOutputStream,write,3,1,1,338,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,LengthOutputStream,getLength,3,1,0,343,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,init,11,3,0,201,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,destroy,13,2,0,212,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,isModified,12,2,0,227,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,isJava5OrSuperior,14,3,0,243,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,getLocalizedString,4,1,1,261,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,showText,4,1,1,270,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,showError,4,1,1,278,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,createAppletApplication,53,7,0,288,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,startApplication,10,1,2,409,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,getApplicationClassName,3,1,0,420,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,getApplication,3,1,0,428,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,getPluginsPackages,43,7,0,435,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DViewer,init,8,2,0,85,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DViewer,destroy,13,2,0,93,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DViewer,isJava5OrSuperior,14,3,0,107,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DViewer,getLocalizedString,4,1,1,125,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DViewer,showError,4,1,1,134,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DViewer,createAppletApplication,37,5,0,142,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,ViewerHelper,132,10,1,87,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,addLanguageLibrary,3,1,1,90,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,languageLibraryExists,3,1,1,95,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,addFurnitureLibrary,3,1,1,100,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,furnitureLibraryExists,3,1,1,105,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,texturesLibraryExists,3,1,1,110,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,addTexturesLibrary,3,1,1,115,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,getLibraries,3,1,0,120,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,write,3,1,0,125,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,isNavigationPanelVisible,3,1,0,130,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,getLengthUnit,3,1,0,135,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,createThreadedTaskView,15,2,3,143,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,setTaskRunning,9,2,2,148,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,createView3D,21,3,3,161,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,actionPerformed,8,2,1,171,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,call,5,1,0,225,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,handleException,10,3,1,235,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,destroy,5,1,0,256,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,initLookAndFeel,8,1,0,268,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,addComponent3DRenderingErrorObserver,15,1,2,279,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,errorOccured,10,1,2,290,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,run,4,1,0,293,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,showError,5,1,2,303,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,readHome,31,2,2,312,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,displayHome,66,13,8,344,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,run,61,13,0,356,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,actionPerformed,3,1,1,397,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,actionPerformed,3,1,1,412,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,getLevel,8,3,2,426,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,getStoredCamera,8,3,2,438,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFrameController,HomeFrameController,7,1,5,46,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFrameController,getView,6,2,0,57,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFrameController,getHomeController,6,2,0,68,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFrameController,displayView,3,1,0,80,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,HomeFramePane,11,2,4,85,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,displayView,42,4,0,102,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,run,4,1,0,151,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,addListeners,68,6,4,161,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,componentResized,9,2,1,170,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,componentMoved,6,2,1,182,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,windowClosing,3,1,1,197,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,windowDeactivated,6,2,1,202,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,windowActivated,10,2,1,215,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,run,3,1,0,221,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,collectionChanged,8,2,1,234,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,propertyChange,3,1,1,247,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,addWindowStateListener,18,2,4,284,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,windowStateChanged,3,1,1,293,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,collectionChanged,6,2,1,301,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,computeFrameBounds,94,13,2,311,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,run,3,1,0,341,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,windowStateChanged,19,4,1,351,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,actionPerformed,6,2,1,361,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,windowClosed,4,1,1,375,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,getUserScreenSize,7,1,0,425,0
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,updateFrameTitle,47,11,3,436,0
sweethome3d-5.6,com.eteks.sweethome3d,LanguageChangeListener,LanguageChangeListener,4,1,2,265,0
sweethome3d-5.6,com.eteks.sweethome3d,LanguageChangeListener,propertyChange,11,2,1,270,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,MacOSXConfiguration,2,1,0,97,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,isScreenMenuBarSupported,16,2,0,100,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,bindToApplicationMenu,164,20,1,121,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleQuit,3,1,1,161,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleAbout,4,1,1,166,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handlePreferences,3,1,1,172,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleOpenFile,3,1,1,177,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleReOpenApplication,3,1,1,185,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,collectionChanged,84,14,1,237,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,28,2,0,246,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,3,1,0,252,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,3,1,0,263,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,isParentOfCanvas3D,18,7,2,270,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,windowClosed,11,3,1,300,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,windowStateChanged,3,1,1,315,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleQuit,35,7,3,342,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,8,3,0,362,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,3,1,0,373,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleAbout,8,1,3,383,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,3,1,0,390,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handlePreferences,8,1,3,396,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,3,1,0,403,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleOpenFile,3,1,2,409,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleReOpenApplication,3,1,1,416,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,handleApplicationMenuAction,30,4,2,423,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,getActiveHomeController,13,5,3,464,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,getActiveFrame,10,3,1,483,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,enableDefaultActions,9,3,2,497,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,setDefaultActionsEnabled,0,8,2,511,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,createDummyFrameWithDefaultMenuBar,34,4,3,531,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,9,1,0,539,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,collectionChanged,15,4,1,552,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,run,8,3,0,555,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,addWindowMenu,69,8,5,571,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,actionPerformed,3,1,1,586,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,actionPerformed,8,2,1,593,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,actionPerformed,12,3,1,605,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,menuSelected,20,4,1,623,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,actionPerformed,3,1,1,630,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,menuDeselected,5,2,1,646,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,menuCanceled,3,1,1,653,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,installToolBar,113,4,1,659,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,isBorderOpaque,3,1,0,679,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,getBorderInsets,3,1,1,684,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,paintBorder,6,1,6,689,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,mousePressed,4,1,1,706,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,mouseDragged,7,1,1,712,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,ancestorAdded,31,1,1,728,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,windowActivated,3,1,1,730,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,windowDeactivated,3,1,1,735,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,windowEnteredFullScreen,5,1,1,745,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,windowExitedFullScreen,5,1,1,751,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,ancestorMoved,2,1,1,764,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,ancestorRemoved,9,1,1,767,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,getBorderInsets,3,1,1,789,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,paintBorder,8,1,6,794,0
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,isWindowFullScreen,3,1,1,809,0
sweethome3d-5.6,com.eteks.sweethome3d,SweetHome3D,SweetHome3D,3,1,0,165,0
sweethome3d-5.6,com.eteks.sweethome3d,SweetHome3D,getHomeRecorder,6,2,0,174,0
sweethome3d-5.6,com.eteks.sweethome3d,SweetHome3D,getHomeRecorder,11,3,1,186,0
sweethome3d-5.6,com.eteks.sweethome3d,SweetHome3D,getUserPreferences,52,9,0,199,0
